gvkey,fyear,datadate,act,at,che,cogs,dlc,dltt,dp,dpc,ib,lct,oancf,ppegt,ppent,rect,sale,xsga,nicon,sic
274678,2003,20040331,229.0660,282.9830,6.4030,415.6160,20.2640,20.1000,5.9380,5.9380,17.0610,181.2290,40.3740,71.3970,52.5010,159.9880,506.0990,43.1830,17.0610,2300
274678,2004,20050331,685.2350,984.4240,20.8480,856.4980,204.4500,68.0920,18.8390,18.8390,72.6210,454.1050,-252.3630,363.0920,294.3590,208.1410,1072.9050,99.9410,72.6210,2300
274678,2005,20060331,1584.2200,2887.7800,117.4600,1657.4900,256.5000,693.3600,29.8700,29.8700,178.8400,648.8000,-427.3100,1301.6700,1204.4100,633.2200,1989.8000,0.0000,178.8400,2300
274678,2006,20070331,5653.6920,9299.5180,2379.9840,3414.2870,1493.4970,1851.0700,105.1740,105.1740,539.6680,2344.1560,-845.6210,3765.1380,3560.4980,1022.4630,4888.2500,540.1350,539.6680,2300
274678,2007,20080331,8467.8920,16899.3140,1403.5110,7130.6500,3467.9000,5739.7570,351.6820,351.6820,1227.4780,4763.5040,-1775.7290,8901.9030,8346.1670,2320.5170,10890.5190,1441.4100,1227.4780,2300
274678,2008,20090331,11951.0210,32698.4450,1246.8450,9546.0490,5785.2080,12232.5800,512.5200,512.5200,1366.7180,7943.5160,159.6420,16793.8220,15791.0640,3638.0330,15145.1310,2210.0970,1366.7180,2300
274678,2009,20100331,15974.4200,47257.9790,1406.8580,11110.3050,10753.7980,14148.9320,822.6570,822.6570,1615.9150,13386.2730,-195.1990,26592.1410,24906.9770,3909.9350,18014.5410,2961.3180,1615.9150,2300
274678,2010,20110331,23199.1230,64380.3250,1949.1230,17761.1440,12629.2070,18803.0580,1674.1370,1674.1370,2028.1870,18075.1380,573.2200,41802.9290,37231.4280,4917.0220,26909.0050,3656.3820,2028.1870,2300
274678,2011,20120331,29762.5000,73287.2000,2201.5000,17205.3000,21929.6000,13075.6000,2337.2000,2337.2000,1668.6000,28374.2000,2282.6000,46343.2000,39519.6000,4334.4000,29020.9000,4125.7000,1668.6000,2300
274678,2012,20130331,36262.1000,80521.7000,2165.7000,19981.4000,24756.8000,14933.5000,2905.4000,2905.4000,1293.6000,34074.8000,3959.2000,50776.7000,41122.9000,6742.4000,33019.5000,4485.0000,1293.6000,2300
274678,2013,20140331,40095.6000,81895.9000,2247.8000,21040.0000,18789.0000,27908.9000,3162.2000,3162.2000,-4833.9000,29357.6000,-8391.6000,50821.4000,38329.6000,8660.5000,29945.8000,4664.8000,-4833.9000,2300
274678,2014,20150331,45479.9000,85722.2000,1916.0000,26268.6000,26184.5000,27417.3000,1772.8000,1772.8000,-1323.1000,34638.2000,5232.5000,50582.9000,36486.7000,11012.6000,35814.3000,3894.9000,-1323.1000,2300
274678,2015,20160331,52983.6000,89867.8000,2085.5000,26669.7000,29991.4000,25503.9000,1763.1000,1763.1000,540.0000,39394.4000,6870.3000,49229.2000,33464.1000,13702.5000,42040.6000,3072.5000,540.0000,2300
274678,2016,20170331,56204.7000,93523.0000,756.2000,24867.5000,39125.2000,16653.4000,1665.5000,1665.5000,-1622.8000,48146.2000,-2781.9000,50549.9000,33167.2000,15232.2000,38948.6000,2921.8000,-1622.8000,2300
274678,2017,20180331,58126.2000,93389.9000,271.0000,21341.8000,28166.0000,12332.5000,1598.8000,1598.8000,-2856.3000,36751.0000,-991.5000,50651.0000,31703.3000,17274.0000,30992.5000,3338.2000,-2856.3000,2300
274678,2018,20190331,40106.6000,79504.3000,302.2000,20212.4000,33025.4000,11051.0000,1596.5000,1596.5000,-16907.0000,41668.6000,293.4000,49552.9000,29372.5000,14483.3000,9736.5000,2643.9000,-16907.0000,2300
274678,2019,20200331,23380.8000,66308.8000,351.9000,17468.0000,38703.7000,10416.9000,1384.0000,1384.0000,-18292.4000,47450.3000,-46.7000,42176.8000,23043.9000,14140.7000,4884.9000,1574.5000,-18292.4000,2300
274678,2020,20210331,19435.0000,61372.1000,260.9000,1524.3000,35807.2000,10045.3000,1039.4000,1039.4000,-1053.9000,43913.0000,3656.0000,24052.9000,12172.0000,12060.0000,1087.7000,526.6000,-1053.9000,2300
274678,2021,20220331,8344.1000,49480.1000,41.5000,5319.2000,35564.4000,9122.0000,1168.0000,1168.0000,-12546.3000,44211.6000,-15825.6000,31072.3000,18227.4000,3167.5000,7775.4000,1491.2000,-12546.3000,2300
275154,2000,20010331,189.6500,313.8000,21.7400,220.7500,48.7900,88.8900,17.6700,17.0600,13.2000,96.8100,37.0800,167.7200,111.9500,54.8900,267.0600,42.2300,13.2000,2300
275154,2001,20020331,166.0200,290.9900,9.6000,301.0500,26.5600,59.4300,17.1800,15.5900,9.8600,93.6100,52.7400,176.6300,105.2700,53.7200,346.1700,40.6400,9.8600,2300
